Energy Outputs,units,6.5L1,6.5L2,6.5L3,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV,CI
variable_name,units,value,value,value,nan,0,nan,nan,nan,nan,nan,nan-nan
start_time_test,yyyymmdd hh:mm:ss,20230605 11:48:21,20230605 12:37:35,20230605 14:15:15,nan,0,nan,nan,nan,nan,nan,nan-nan
end_time_test,yyyymmdd hh:mm:ss,20230605 12:36:35,20230605 14:14:15,20230605 16:17:05,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_type_1,--,douglas fir ,douglas fir ,douglas fir ,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_source_1,--,local forest,local forest,local forest,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_dimensions_1,cmxcmxcm,2x3x20,2x3x20,2x3x20,nan,0,nan,nan,nan,nan,nan,nan-nan
fuel_mc_1,%,18,18,18,18.0,3,0.0,0.0,18.0,18.0,0.0,18.0-18.0
fuel_Cfrac_db_1,g/g,0.5,0.5,0.5,0.5,3,0.0,0.0,0.5,0.5,0.0,0.5-0.5
fuel_heating_value_1,MJ/kg,15.431,15.431,15.431,15.431,3,0.0,0.0,15.431,15.431,0.0,15.431-15.431
initial_fuel_mass_1,kg,5.99,10.12,7.25,7.787,3,2.117,3.569,11.356,4.218,27.186,11.356-4.218
final_fuel_mass_1,kg,1.496,2.24,6.445,3.394,3,2.669,4.5,7.894,-1.106,78.639,7.894--1.106
stack_dia,in,6,6,6,6.0,3,0.0,0.0,6.0,6.0,0.0,6.0-6.0
SB,--,2041,2041,2041,2041.0,3,0.0,0.0,2041.0,2041.0,0.0,2041.0-2041.0
phase_time_test,min,48.233333333333334,96.66666666666667,121.83333333333333,88.911,3,37.408,63.064,151.975,25.847,42.074,151.975-25.847
fuel_mass_1,kg,4.494,7.879999999999999,0.8049999999999997,4.393,3,3.539,5.966,10.359,-1.573,80.56,10.359--1.573
fuel_dry_mass_1,kg,3.68508,6.4616,0.6600999999999998,3.602,3,2.902,4.892,8.494,-1.29,80.566,8.494--1.29
fuel_Cfrac_1,g/g,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41,3,0.0,0.0,0.41,0.41,0.0,0.41-0.41
fuel_energy_1,MJ,69.346914,121.59627999999998,12.421954999999995,67.788,3,54.604,92.054,159.842,-24.266,80.551,159.842--24.266
fuel_mass,kg,4.494,7.879999999999999,0.8049999999999997,4.393,3,3.539,5.966,10.359,-1.573,80.56,10.359--1.573
fuel_dry_mass,kg,3.68508,6.4616,0.6600999999999998,3.602,3,2.902,4.892,8.494,-1.29,80.566,8.494--1.29
