variable_name,units,value,uncertainty
start_time_test,yyyymmdd hh:mm:ss,20230605 11:48:21,
end_time_test,yyyymmdd hh:mm:ss,20230605 12:36:35,
fuel_type_1,--,douglas fir ,
fuel_source_1,--,local forest,
fuel_dimensions_1,cmxcmxcm,2x3x20,
fuel_mc_1,%,18,5
fuel_Cfrac_db_1,g/g,0.5,0.025
fuel_heating_value_1,MJ/kg,15.431,1
initial_fuel_mass_1,kg,5.99,0.5
final_fuel_mass_1,kg,0,0
fuel_type_c,--,char,
fuel_mc_c,%,0,5
fuel_Cfrac_db_c,g/g,0.9,0.025
fuel_heating_value_c,MJ/kg,32.5,1
initial_fuel_mass_c,kg,0,0.5
final_fuel_mass_c,kg,1.496,0
stack_dia,in,6,
SB,--,2041,
phase_time_test,min,48.233333333333334,
fuel_mass_1,kg,5.99,0.5
fuel_dry_mass_1,kg,4.9118,0.5077403371803347
fuel_Cfrac_1,g/g,0.41000000000000003,0.032330326320654426
fuel_energy_1,MJ,92.43169,9.767755128482696
fuel_mass_c,kg,-1.496,0.5
fuel_dry_mass_c,kg,-1.496,0.5055640810025965
fuel_Cfrac_c,g/g,0.9,0.051478150704935006
fuel_energy_c,MJ,-48.62,16.3187167387635
fuel_mass,kg,4.494,0.7071067811865476
fuel_dry_mass,kg,3.4158000000000004,0.7165160779773194
burn_rate,g/min,93.1720801658604,14.66012676958979
fuel_energy,MJ,43.811690000000006,19.018663366546033
firepower,W,15138.800967519006,6571.756519193515
fuel_EHV,MJ/kg,9.748929684023143,2.9486266437166906
fuel_Cfrac,g/g,0.2468847352024922,0.08809218651651776
fuel_Cfrac_db,g/g,0.324814099186135,0.09663206952989567
