ISO Performance Metrics (Weighted Mean),units,yatzo_test1,yatzo_test2,yatzo_test3,yatzo_test4,yatzo_test5,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV
thermal_efficiency_w_char,%,86.38721707232048,86.8021190751045,87.34524293369769,87.14119671234981,86.74094779314203,86.8833447173229,5,0.37177101243076394,0.3544430868022358,87.23778780412513,86.52890163052066,0.42789675471211436
thermal_efficiency_wo_char,%,86.38721707232048,86.8021190751045,87.34524293369769,87.14119671234981,86.74094779314203,86.8833447173229,5,0.37177101243076394,0.3544430868022358,87.23778780412513,86.52890163052066,0.42789675471211436
char_mass_productivity,%,,,,,,nan,0,nan,nan,nan,nan,nan
char_energy_productivity,%,,,,,,nan,0,nan,nan,nan,nan,nan
avg_cooking_power,watts,0.7575731065589482,0.7240075544011545,0.7625766384924034,0.7257048048662028,0.7372564076596525,0.7414237023956723,5,0.017860726862777652,0.017028253817808064,0.7584519562134804,0.7243954485778643,2.4089770538851742
burning_rate,g/min,2.6724512958666984,2.5575757575757554,2.675150402773527,2.571448127505621,2.600221483942411,2.6153694135328025,5,0.05552196360769949,0.05293413286249519,2.6683035463952978,2.5624352806703072,2.122910947891726
Basic Operation,units,yatzo_test1,yatzo_test2,yatzo_test3,yatzo_test4,yatzo_test5,average,N,stdev,Interval,High Tier Estimate,Low Tier Estimate,COV
time_to_boil_hp,min,5,6,,,,5.5,2,0.7071067811865476,3.1568757574004658,8.656875757400465,2.3431242425995342,12.856486930664502
phase_time_hp,min,31.816666666666666,33.0,31.133333333333333,32.46666666666667,32.25,32.13333333333333,5,0.7028710961319852,0.6701108817177824,32.803444215051115,31.46322245161555,2.187358182983356
eff_w_char_hp,%,83.63830162350332,82.68090947479433,83.32114031702265,82.17261000910278,82.95510769052696,82.95361382299001,5,0.5674966868755991,0.5410461566948798,83.49465997968488,82.41256766629513,0.6841132781587406
eff_wo_char_hp,%,83.63830162350332,82.68090947479433,83.32114031702265,82.17261000910278,82.95510769052696,82.95361382299001,5,0.5674966868755991,0.5410461566948798,83.49465997968488,82.41256766629513,0.6841132781587406
fuel_mass_hp,kg,0.14100000000000001,0.14100000000000001,0.13599999999999968,0.14100000000000001,0.14100000000000001,0.13999999999999996,5,0.0022360679774999404,0.0021318467813364332,0.1421318467813364,0.13786815321866353,1.597191412499958
burn_rate_hp,g/min,4.431639601885805,4.272727272727273,4.3683083511777205,4.342915811088296,4.372093023255815,4.357536812026982,5,0.05750122700984961,0.054821144507824666,4.412357956534807,4.302715667519157,1.3195809809602488
firepower_hp,kW,1.4662818229439496,1.4137030303030302,1.4453276231263348,1.4369260780287474,1.4465798449612401,1.4417636798726605,5,0.019025239309992188,0.01813848934615554,1.459902169218816,1.423625190526505,1.3195809809602455
cooking_power_hp,kW,1.2263732137244638,1.1688625227272729,1.2042634569057817,1.1807596622176588,1.2000118682170546,1.1960541447584463,5,0.022223905084109236,0.021188068072624563,1.217242212831071,1.1748660766858217,1.8581019246915071
char_energy_productivity_hp,%,,,,,,nan,0,nan,nan,nan,nan,nan
char_mass_productivity_hp,%,,,,,,nan,0,nan,nan,nan,nan,nan
time_to_boil_mp,min,,,,,,nan,0,nan,nan,nan,nan,nan
phase_time_mp,min,35.0,35.0,35.0,35.0,35.0,35.0,5,0.0,0.0,35.0,35.0,0.0
eff_w_char_mp,%,89.38708170017891,90.2347229084265,90.04779752887366,88.76622796191795,90.14722482959267,89.71661098579794,5,0.6275687642226652,0.5983183264272687,90.31492931222522,89.11829265937067,0.6995011930644691
eff_wo_char_mp,%,89.38708170017891,90.2347229084265,90.04779752887366,88.76622796191795,90.14722482959267,89.71661098579794,5,0.6275687642226652,0.5983183264272687,90.31492931222522,89.11829265937067,0.6995011930644691
fuel_mass_mp,kg,0.0794999999999999,0.07299999999999995,0.0810000000000004,0.08000000000000007,0.08199999999999985,0.07910000000000003,5,0.0035425979167837155,0.0033774804891702893,0.08247748048917032,0.07572251951082974,4.478632006047679
burn_rate_mp,g/min,2.2714285714285687,2.0857142857142845,2.3142857142857256,2.285714285714288,2.3428571428571385,2.2600000000000007,5,0.10121708333667749,0.09649944254772246,2.3564994425477233,2.163500557452278,4.478632006047675
firepower_mp,kW,0.7515399999999991,0.6900933333333329,0.7657200000000038,0.7562666666666673,0.7751733333333319,0.7477586666666671,5,0.033489358973328734,0.03192844889095647,0.7796871155576236,0.7158302177757107,4.47863200604768
cooking_power_mp,kW,0.6717796738095237,0.622703807142857,0.6895139952380949,0.671309393333332,0.6987972476190466,0.6708208234285709,5,0.029362051757457125,0.02799351189786018,0.698814335326431,0.6428273115307107,4.377033439031817
char_energy_productivity_mp,%,,,,,,nan,0,nan,nan,nan,nan,nan
char_mass_productivity_mp,%,,,,,,nan,0,nan,nan,nan,nan,nan
time_to_boil_lp,min,,,,,,nan,0,nan,nan,nan,nan,nan
phase_time_lp,min,35.0,35.0,35.0,35.0,35.0,35.0,5,0.0,0.0,35.0,35.0,0.0
eff_w_char_lp,%,86.13626789327921,87.4907248420927,88.66679095519673,90.48475216602868,87.12051085930645,87.97980934318075,5,1.6675524648480884,1.5898292854543274,89.56963862863508,86.38998005772642,1.8953808576050741
eff_wo_char_lp,%,86.13626789327921,87.4907248420927,88.66679095519673,90.48475216602868,87.12051085930645,87.97980934318075,5,1.6675524648480884,1.5898292854543274,89.56963862863508,86.38998005772642,1.8953808576050741
fuel_mass_lp,kg,0.04600000000000026,0.04599999999999982,0.04699999999999971,0.03799999999999981,0.03799999999999981,0.042999999999999886,5,0.0045825756949558925,0.00436898580178453,0.04736898580178442,0.03863101419821535,10.65715277896722
burn_rate_lp,g/min,1.3142857142857218,1.314285714285709,1.3428571428571345,1.0857142857142803,1.0857142857142803,1.228571428571425,5,0.13093073414159692,0.12482816576527227,1.3533995943366974,1.1037432628061528,10.657152778967221
firepower_lp,kW,0.4348533333333358,0.43485333333333165,0.4443066666666639,0.35922666666666486,0.35922666666666486,0.40649333333333226,5,0.04332061556964972,0.04130147911286977,0.447794812446202,0.3651918542204625,10.657152778967225
cooking_power_lp,kW,0.37456643214285656,0.38045633333333334,0.3939524633333336,0.32504535904761767,0.31296010714285644,0.3573961389999995,5,0.03600031343197982,0.034322369932097016,0.39171850893209653,0.32307376906790247,10.072944137759661
char_energy_productivity_lp,%,,,,,,nan,0,nan,nan,nan,nan,nan
char_mass_productivity_lp,%,,,,,,nan,0,nan,nan,nan,nan,nan
